Dataset,Proj_Init,Proj_Final,Proj_ConvIter,GeoLS_Init,GeoLS_Final,GeoLS_ConvIter
1,210.5462799720604,4.762097660497409,86,210.54627997206038,4.754065940581445,28
2,285.66776384929136,6.043643137032375,90,285.66776384929136,6.13565405094827,32
3,15.587737903608847,7.606907097804814,47,15.587737903608847,7.902360763364876,26
4,156.14104309806322,19.29275063806879,82,156.14104309806322,19.300482070407746,25
5,285.03786687373514,16.096383532248215,91,285.0378668737351,16.430567732691767,42
6,98.64806949936253,12.425082337958347,76,98.64806949936253,12.552531399501216,36
7,243.11039170127827,23.352797014561734,89,243.1103917012783,23.413690184682245,42
8,81.99202092307713,10.392648611311282,74,81.99202092307712,10.343143977933009,56
9,289.0058925260071,9.849617695273686,92,289.0058925260071,9.869224441777355,37
